date,is_boarded,fire,homeless,address,zip_code,ward,community_area,latitude,longitude
2017-08-04,0,0,0,1231 N harding ave,60651,37,23,41.90323603845399,-87.72510020858748
2017-08-04,0,0,0,5942 S peoria st,60621,16,68,41.78621654738613,-87.6473828702868
2017-08-04,0,0,1,6440 S seeley ave,60636,16,67,41.7767719172303,-87.6750561873273
2017-08-04,0,0,1,6428 S paulina st,60636,15,67,41.777023423324366,-87.66662330315884
2017-08-04,1,0,0,9015 S houston ave,60617,10,46,41.73164067814702,-87.54990594503731
2017-08-04,0,0,0,10917 S buffalo ave,60617,10,52,41.69701459847979,-87.54378322549623
2017-08-04,0,1,0,9156 S greenwood ave,60619,8,47,41.7284285882478,-87.59735715836545
2017-08-04,0,0,1,3507 W carroll ave,60624,28,27,41.88742247754093,-87.71380962398759
2017-08-04,0,0,0,3156 S may st,60608,11,60,41.83669912204944,-87.65476828894451
2017-08-04,0,0,1,754 W 73rd st,60621,6,68,41.761577691780595,-87.64338825335847
2017-08-04,0,0,0,12755 S emerald ave,60628,34,53,41.6620170755436,-87.64018193164107
2017-08-04,0,0,0,4430 W roosevelt rd,60624,24,29,41.86602192553678,-87.73570387853914
2017-08-04,0,0,0,2146 S millard ave,60623,24,29,41.852917560759145,-87.71625521616049
2017-07-24,0,0,0,4738 W monroe st,60644,28,25,41.87926705085061,-87.74372282457169
2017-08-05,0,0,0,9223 S halsted st,60620,21,73,41.72651328398734,-87.64335084949836
2017-08-05,0,0,1,830 E 89th st,60619,8,44,41.73300968010835,-87.60391143468317
2017-08-05,0,0,1,6533 S whipple st,60629,17,66,41.77477436724595,-87.69937184482787
2017-08-05,0,0,1,11403 S racine ave,60643,34,75,41.686610268123545,-87.65193066818334
2017-08-05,0,0,1,8715 S constance ave,60617,8,48,41.736728177896026,-87.5793548953131
2017-08-05,1,0,0,7237 S winchester ave,60636,17,67,41.76231885307183,-87.67225134580235
2017-08-05,0,0,1,6616 S langley ave,60637,20,42,41.77462418667069,-87.60825527590674
2017-08-06,0,0,0,11820 S sangamon st,60643,34,53,41.67921343958077,-87.64561086165799
2017-08-06,0,0,1,6650 S rockwell st,60629,17,66,41.77370810526281,-87.68837810354354
2017-08-06,0,0,0,8527 S drexel ave,60619,8,44,41.739826443547926,-87.6024844594863
