Date,incident number,Incident type,Address,City,State,ZIP Code,County,Latitude,Longitude,Destroyed,Major,Minor,Affected,Injured,Hospitalized,Deceased,Adults,Children,Families,Assistance,Verified,Dispatched,Volunteers identified,On scene,Off scene,Primary neighborhood,Secondary neighborhood
2015-01-01,15-1211,No response needed,3331 West 66th Place,Chicago,IL,60629,Cook,41.77229,-87.706622,0,0,0,0,0,0,0,0,0,0,0,2015-01-01,,,,,Chicago Lawn,"MARQUETTE PARK,GAGE PARK"
2015-01-01,15-1215,No response needed,6432 South Peoria Street,Chicago,IL,60621,Cook,41.776934,-87.647496,0,0,0,0,0,0,0,0,0,0,0,2015-01-01,,,,,Englewood,ENGLEWOOD
2015-01-02,15-1225,No response needed,5333 North Sheridan Road,Chicago,IL,60640,Cook,41.9792459,-87.6543494,0,0,0,0,0,0,1,0,0,0,0,2015-01-02,,,,,Edgewater,EDGEWATER
2015-01-02,15-1226,No response needed,North Ashland Avenue & West Superior Street,Chicago,IL,60622,Cook,41.8951566,-87.6673252,0,0,0,0,0,0,0,0,0,0,0,2015-01-02,,,,,West Town,"WICKER PARK,WEST TOWN"
2015-01-02,15-1227,No response needed,5427 South Marshfield Avenue,Chicago,IL,60609,Cook,41.795032,-87.665474,0,0,0,0,0,0,0,0,0,0,0,2015-01-02,,,,,New City,BACK OF THE YARDS
2015-01-02,15-1229,Fire,32 North Lavergne Avenue,Chicago,IL,60644,Cook,41.880862,-87.7501949,0,0,1,0,0,0,0,2,1,1,470,2015-01-02,2015-01-02,2015-01-02,2015-01-02,2015-01-02,Austin,AUSTIN
2015-01-02,15-1231,Fire,11343 South Elizabeth Street,Chicago,IL,60643,Cook,41.687228,-87.652806,0,1,0,0,0,0,0,3,1,1,496,2015-01-02,2015-01-02,2015-01-02,2015-01-02,2015-01-02,Morgan Park,"MOUNT GREENWOOD,MORGAN PARK"
2015-01-02,15-1233,Fire,12221 South Sangamon Street,Chicago,IL,60643,Cook,41.671613,-87.645002,0,0,0,1,0,0,0,1,0,1,0,2015-01-02,2015-01-02,2015-01-02,2015-01-03,2015-01-03,West Pullman,WEST PULLMAN
2015-01-03,15-1237,Fire,2126 East 95th Place,Chicago,IL,60617,Cook,41.7215557,-87.5729697,0,1,0,0,0,0,0,1,3,1,930,2015-01-03,2015-01-03,2015-01-03,2015-01-03,2015-01-03,South Deering,SOUTHEAST SIDE
2015-01-03,15-1238,Fire,7243 South Constance Avenue,Chicago,IL,60649,Cook,41.763476,-87.5805102,0,0,1,0,0,0,0,0,0,0,0,2015-01-03,2015-01-03,2015-01-03,2015-01-03,2015-01-03,South Shore,"SOUTH SHORE, GRAND CROSSING"
2015-01-03,15-1243,Fire,8410 South Ada Street,Chicago,IL,60620,Cook,41.740948,-87.657463,0,1,1,0,0,0,0,4,0,2,900,2015-01-04,2015-01-04,2015-01-04,2015-01-04,2015-01-04,Auburn Gresham,AUBURN GRESHAM
2015-01-04,15-1245,Fire,1742 North Lockwood Avenue,Chicago,IL,60639,Cook,41.912584,-87.758563,0,1,0,0,0,0,0,3,2,1,1435,2015-01-04,2015-01-04,2015-01-04,2015-01-04,2015-01-04,Austin,AUSTIN
2015-01-05,15-1253,Fire,232 West 106th Place,Chicago,IL,60628,Cook,41.700972,-87.629397,1,0,0,0,0,0,0,5,2,1,0,2015-01-05,2015-01-05,2015-01-05,2015-01-05,2015-01-05,Roseland,"WASHINGTON HEIGHTS,ROSELAND"
2015-01-06,15-1259,Fire,2840 South State Street,Chicago,IL,60616,Cook,41.8425721,-87.6268978,0,0,1,0,0,0,0,1,3,1,490,2015-01-06,2015-01-06,2015-01-06,,,Douglas,BRONZEVILLE
2015-01-06,15-1261,Fire,4116 North Keeler Avenue,Chicago,IL,60641,Cook,41.955979,-87.732962,0,0,1,0,0,0,0,1,0,1,425,2015-01-06,2015-01-07,2015-01-07,2015-01-07,2015-01-07,Irving Park,"IRVING PARK,AVONDALE"
2015-01-06,15-1262,No response needed,3259 West Cermak Road,Chicago,IL,60623,Cook,41.8514863,-87.707494,0,0,0,0,0,0,0,0,0,0,0,2015-01-06,,,,,Little Village,LITTLE VILLAGE
2015-01-07,15-1269,Fire,11521 South Perry Avenue,Chicago,IL,60628,Cook,41.684661,-87.6249629,0,2,0,0,0,0,0,4,4,2,1530,2015-01-07,2015-01-07,2015-01-07,,2015-01-07,West Pullman,WEST PULLMAN
2015-01-07,15-1270,Fire,1514 South Kostner Avenue,Chicago,IL,60623,Cook,41.860027,-87.7351149,0,1,0,4,0,0,0,10,0,5,2245,2015-01-07,2015-01-07,2015-01-07,2015-01-07,2015-01-07,North Lawndale,NORTH LAWNDALE
2015-01-07,15-1272,Fire,9105 South Crandon Avenue,Chicago,IL,60617,Cook,41.729645,-87.567892,0,1,0,0,0,0,1,1,0,1,50,2015-01-07,2015-01-07,2015-01-07,2015-01-07,2015-01-08,Calumet Heights,"AVALON PARK,CALUMET HEIGHTS"
2015-01-07,15-1273,Fire,1426 South Ridgeway Avenue,Chicago,IL,60623,Cook,41.861503,-87.719287,1,0,4,1,0,0,0,7,0,3,806,2015-01-07,2015-01-07,2015-01-07,2015-01-08,2015-01-08,North Lawndale,NORTH LAWNDALE
2015-01-07,15-1277,No response needed,1670 East 103rd Street,Chicago,IL,60617,Cook,41.7078924,-87.5828049,0,0,0,0,0,0,0,0,0,0,0,,,,,,South Deering,SOUTHEAST SIDE
2015-01-08,15-1281,Fire,2825 South Kostner Avenue,Chicago,IL,60623,Cook,41.83964,-87.733787,0,0,0,2,0,0,0,6,5,3,1420,2015-01-08,2015-01-08,2015-01-08,2015-01-09,2015-01-09,Little Village,LITTLE VILLAGE
2015-01-08,15-1286,Not eligible for services,6140 South Drexel Avenue,Chicago,IL,60637,Cook,41.782815,-87.60489,0,0,0,0,0,0,0,0,0,0,0,2015-01-09,,,,,Woodlawn,WOODLAWN
2015-01-08,15-1290,Fire,6914 South Wolcott Avenue,Chicago,IL,60636,Cook,41.767994,-87.67153,0,1,0,0,0,0,0,2,3,1,1645,2015-01-09,2015-01-09,2015-01-09,,2015-01-09,Englewood,ENGLEWOOD
