date,is_boarded,fire,homeless,address,zip_code,ward,community_area,geometry,PRI_NEIGH
2017-08-04,0,0,0,1231 N harding ave,60651,37,23,"c(-87.7251002085875, 41.903236038454)",Humboldt Park
2017-08-04,0,0,0,5942 S peoria st,60621,16,68,"c(-87.6473828702868, 41.7862165473861)",Englewood
2017-08-04,0,0,1,6440 S seeley ave,60636,16,67,"c(-87.6750561873273, 41.7767719172303)",Englewood
2017-08-04,0,0,1,6428 S paulina st,60636,15,67,"c(-87.6666233031588, 41.7770234233244)",Englewood
2017-08-04,1,0,0,9015 S houston ave,60617,10,46,"c(-87.5499059450373, 41.731640678147)",South Chicago
2017-08-04,0,0,0,10917 S buffalo ave,60617,10,52,"c(-87.5437832254962, 41.6970145984798)",East Side
2017-08-04,0,1,0,9156 S greenwood ave,60619,8,47,"c(-87.5973571583655, 41.7284285882478)",Burnside
2017-08-04,0,0,1,3507 W carroll ave,60624,28,27,"c(-87.7138096239876, 41.8874224775409)",Garfield Park
2017-08-04,0,0,0,3156 S may st,60608,11,60,"c(-87.6547682889445, 41.8366991220494)",Bridgeport
2017-08-04,0,0,1,754 W 73rd st,60621,6,68,"c(-87.6433882533585, 41.7615776917806)",Englewood
2017-08-04,0,0,0,12755 S emerald ave,60628,34,53,"c(-87.6401819316411, 41.6620170755436)",West Pullman
2017-08-04,0,0,0,4430 W roosevelt rd,60624,24,29,"c(-87.7357038785391, 41.8660219255368)",North Lawndale
2017-08-04,0,0,0,2146 S millard ave,60623,24,29,"c(-87.7162552161605, 41.8529175607591)",North Lawndale
2017-07-24,0,0,0,4738 W monroe st,60644,28,25,"c(-87.7437228245717, 41.8792670508506)",Austin
2017-08-05,0,0,0,9223 S halsted st,60620,21,73,"c(-87.6433508494984, 41.7265132839873)",Washington Heights
2017-08-05,0,0,1,830 E 89th st,60619,8,44,"c(-87.6039114346832, 41.7330096801084)",Chatham
2017-08-05,0,0,1,6533 S whipple st,60629,17,66,"c(-87.6993718448279, 41.774774367246)",Chicago Lawn
2017-08-05,0,0,1,11403 S racine ave,60643,34,75,"c(-87.6519306681833, 41.6866102681235)",Morgan Park
2017-08-05,0,0,1,8715 S constance ave,60617,8,48,"c(-87.5793548953131, 41.736728177896)",Calumet Heights
2017-08-05,1,0,0,7237 S winchester ave,60636,17,67,"c(-87.6722513458024, 41.7623188530718)",Englewood
2017-08-05,0,0,1,6616 S langley ave,60637,20,42,"c(-87.6082552759067, 41.7746241866707)",Woodlawn
2017-08-06,0,0,0,11820 S sangamon st,60643,34,53,"c(-87.645610861658, 41.6792134395808)",West Pullman
2017-08-06,0,0,1,6650 S rockwell st,60629,17,66,"c(-87.6883781035435, 41.7737081052628)",Chicago Lawn
2017-08-06,0,0,0,8527 S drexel ave,60619,8,44,"c(-87.6024844594863, 41.7398264435479)",Chatham
2017-08-06,0,0,1,5656 S hoyne ave,60636,15,67,"c(-87.6766538346504, 41.7910352109717)",Englewood
2018-07-24,1,0,1,5210 S luna ave,60638,14,56,"c(-87.7612339418226, 41.7979685394533)",Garfield Ridge
2017-08-07,0,0,1,5210 S laflin st,60609,20,61,"c(-87.662294764896, 41.7993452516846)",New City
2017-08-07,0,0,0,5046 W fulton st,60644,28,25,"c(-87.7515027279554, 41.8856846980992)",Austin
2018-07-24,0,0,1,1455 S tripp ave,60623,24,29,"c(-87.7311443586337, 41.8614190681523)",North Lawndale
2017-08-07,0,0,0,442 W 129th pl,60628,9,53,"c(-87.6329900708415, 41.6581954090597)",West Pullman
2017-08-07,0,1,0,10736 S prairie ave,60628,9,49,"c(-87.6171977285183, 41.6991506562427)",Roseland
2017-08-07,0,0,0,1710 N karlov ave,60639,26,23,"c(-87.7288372853277, 41.9118646538016)",Humboldt Park
