docket_number,violation_number,issued_date,issuing_department,last_hearing_date,property_address,violation_type,entity_or_person_s,disposition_description,total_fines,total_administrative_costs,interest_amount,collection_costs_or_attorney_fees,court_cost,original_total_amount_due,total_paid,current_amount_due
15BT04298A,15DR449896,2015-08-05,BLDINGS,2015-09-24T03:00:00Z,10036 s princeton,193110 Insure and secure vacant building. (13-12-125 (a).,"BANK OF AMERICA, NA C/O PATRICIA M HOLDEN,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP004562,P004608684,2015-01-04,POLICE,2015-02-23T02:30:00Z,1000 w north,7-24-099(a)     Cannabis - up to 15 grams,"BANK OF AMERICA,",Vendor scanning error,0,0,0,0,0,NA,NA,NA
15CP007439,P004651041,2015-01-03,POLICE,2015-02-06T11:00:00Z,8424 s colfax,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP007439,P004651042,2015-01-03,POLICE,2015-02-06T11:00:00Z,8424 s colfax,13-12-140  Watchman required,"JP MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP007439,P004651043,2015-01-03,POLICE,2015-02-06T11:00:00Z,8424 s colfax,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP007439,P004651044,2015-01-03,POLICE,2015-02-06T11:00:00Z,8424 s colfax,13-12-140  Watchman required,"JP MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP007439,P004651045,2015-01-03,POLICE,2015-02-06T11:00:00Z,8424 s colfax,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP007439,P004651046,2015-01-03,POLICE,2015-02-06T11:00:00Z,8424 s colfax,13-12-140  Watchman required,"JP MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009096,P004643169,2015-01-07,POLICE,2015-03-06T09:00:00Z,5915 s ada,13-12-140  Watchman required,"J P MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009096,P004643170,2015-01-07,POLICE,2015-03-06T09:00:00Z,5915 s ada,13-12-125  Duty to secure and maintain vacant building.,"J P MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009096,P004643171,2015-01-07,POLICE,2015-03-06T09:00:00Z,5915 s ada,13-12-140  Watchman required,"J P MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009096,P004643172,2015-01-07,POLICE,2015-03-06T09:00:00Z,5915 s ada,13-12-125  Duty to secure and maintain vacant building.,"J P MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009096,P004643173,2015-01-07,POLICE,2015-03-06T09:00:00Z,5915 s ada,13-12-125  Duty to secure and maintain vacant building.,"J P MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009096,P004643174,2015-01-07,POLICE,2015-03-06T09:00:00Z,5915 s ada,13-12-140  Watchman required,"J P MORGAN CHASE BANK,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329768,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richmond,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329768,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richnmond,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329769,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richmond,13-12-140  Watchman required,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329769,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richnmond,13-12-140  Watchman required,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329770,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richmond,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329770,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richnmond,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329771,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richmond,13-12-140  Watchman required,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329771,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richnmond,13-12-140  Watchman required,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329772,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richmond,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329772,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richnmond,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329773,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richmond,13-12-140  Watchman required,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329773,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richnmond,13-12-140  Watchman required,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329774,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richmond,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
15CP009656,P004329774,2015-01-02,POLICE,2015-02-06T01:00:00Z,7216 s richnmond,13-12-125  Duty to secure and maintain vacant building.,"JP MORGAN CHASE,",City non-suit,0,0,0,0,0,NA,NA,NA
